# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:			          Sinnesschärfe
SkillBase.RegisterPropertyNames.AcuityBonusCap:		      Sinnesschärfebonuslimit
SkillBase.RegisterPropertyNames.AllArcherySkills:	      ALLE Bogenfähigkeiten
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:	  ALLE Doppelwaffentalente
SkillBase.RegisterPropertyNames.AllMagicSkills:		      ALLE Magietalente
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:	  ALLE Nahkampftalente
SkillBase.RegisterPropertyNames.AllSkills:		          ALLE Fähigkeiten
SkillBase.RegisterPropertyNames.ALLSpellLines:		      ALLE Zauberlinien
SkillBase.RegisterPropertyNames.Arboreal:		          Pfad des Haines
SkillBase.RegisterPropertyNames.ArborealFocus:		      Pfad des Haines Fokus
SkillBase.RegisterPropertyNames.Archery:		          Bogenschießen
SkillBase.RegisterPropertyNames.ArcheryRange:		      Bogenschussreichweite
SkillBase.RegisterPropertyNames.ArcherySpeed:		      Bogengeschwindigkeits Bonus
SkillBase.RegisterPropertyNames.ArrowRecovery:		      Pfeilwiederherstellung
SkillBase.RegisterPropertyNames.Augmentation:		      Verbesserung
SkillBase.RegisterPropertyNames.AuraManipulation:	      Auramanipulation
SkillBase.RegisterPropertyNames.Axe:			          Axt
SkillBase.RegisterPropertyNames.Battlesongs:		      Schlachtgesang
SkillBase.RegisterPropertyNames.BeastCraft:		          Tierherrschaft
SkillBase.RegisterPropertyNames.Blades:			          Klingen
SkillBase.RegisterPropertyNames.BladeturnReinforcement:   - Klingenwendungsverstärkung: {0} % (PvM Only)
SkillBase.RegisterPropertyNames.BlockChance:		      Block Bonus: (Nur PvM)
SkillBase.RegisterPropertyNames.Blunt:			          Stumpfe Waffen
SkillBase.RegisterPropertyNames.Body:			          Körper
SkillBase.RegisterPropertyNames.BodyMagic:		          Körpermagie
SkillBase.RegisterPropertyNames.BodyMagicFocus:		      Körpermagie Fokus
SkillBase.RegisterPropertyNames.BoneArmy:		          Knochenarmee
SkillBase.RegisterPropertyNames.BoneArmyFocus:		      Knochenarmee Fokus
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:	  Absorptionsbonus
SkillBase.RegisterPropertyNames.BonusToArmorFactor:	      Rüstungsfaktor-Bonus
SkillBase.RegisterPropertyNames.CastingSpeed:		      Zauber Geschwindigkeitsbonus
SkillBase.RegisterPropertyNames.CaveMagic:		          Höhlenmagie
SkillBase.RegisterPropertyNames.CelticDual:		          Keltendoppel
SkillBase.RegisterPropertyNames.CelticSpear:		      Keltenspeer
SkillBase.RegisterPropertyNames.Chants:			          Gesänge
SkillBase.RegisterPropertyNames.Charisma:		          Charisma
SkillBase.RegisterPropertyNames.CharismaBonusCap:	      Charismabonuslimit
SkillBase.RegisterPropertyNames.Cold:			          Kälte
SkillBase.RegisterPropertyNames.ColdMagic:		          Kältemagie
SkillBase.RegisterPropertyNames.ColdMagicFocus:		      Kältemagie Fokus
SkillBase.RegisterPropertyNames.Composite:		          Komposite
SkillBase.RegisterPropertyNames.Concentration:		      Konzentration
SkillBase.RegisterPropertyNames.Constitution:		      Konstitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:	  Konstitutionsbonuslimit
SkillBase.RegisterPropertyNames.Creeping:		          Pfad des Gestrüps
SkillBase.RegisterPropertyNames.CreepingPathFocus:	      Pfad des Gestrüps Fokus
SkillBase.RegisterPropertyNames.CriticalArcheryHit:   	  Warscheinlichkeitsbonus auf kritischen Ferntreffer
SkillBase.RegisterPropertyNames.CriticalMeleeHit:	      Warscheinlichkeitsbonus auf kritischen Nahkampftreffer
SkillBase.RegisterPropertyNames.CriticalSpellHit:		  kritische Zaubertreffer Warscheinlichkeit
SkillBase.RegisterPropertyNames.CriticalHealHit:		  kritische Heilung Treffer Warscheinlichkeit
SkillBase.RegisterPropertyNames.CriticalStrike:		      Kritischer Treffer
SkillBase.RegisterPropertyNames.Crossbows:		          Armbrust
SkillBase.RegisterPropertyNames.Crush:			          Schlag
SkillBase.RegisterPropertyNames.Crushing:		          Schlagen
SkillBase.RegisterPropertyNames.Cursing:		          Verfluchen
SkillBase.RegisterPropertyNames.CursingFocus:		      Verfluchen Fokus
SkillBase.RegisterPropertyNames.Darkness:		          Dunkelheit
SkillBase.RegisterPropertyNames.DarknessFocus:		      Dunkelheit Fokus
SkillBase.RegisterPropertyNames.DeathServant:		      Todesdiener
SkillBase.RegisterPropertyNames.DeathservantFocus:	      Todesdiener Fokus
SkillBase.RegisterPropertyNames.Deathsight:		          Pfad des todes
SkillBase.RegisterPropertyNames.DeathsightFocus:	      Pfad des todes Fokus
SkillBase.RegisterPropertyNames.DebuffEffectivness:	      Debuff Effektivität
SkillBase.RegisterPropertyNames.DefensiveBonus:		      - Verteidungsbonus: {0} % (Nur PvM)
SkillBase.RegisterPropertyNames.Dementia:		          Demenz
SkillBase.RegisterPropertyNames.Dexterity:		          Geschick
SkillBase.RegisterPropertyNames.DexterityBonusCap:	      Geschickbonuslimit
SkillBase.RegisterPropertyNames.DualWield:		          Doppelwaffen
SkillBase.RegisterPropertyNames.EarthMagic:		          Erdmagie
SkillBase.RegisterPropertyNames.EarthMagicFocus:	      Erdmagie Fokus
SkillBase.RegisterPropertyNames.EffectiveLevel:		      Effektivitätslevel
SkillBase.RegisterPropertyNames.Empathy:		          Empathie
SkillBase.RegisterPropertyNames.EmpathyBonusCap:	      Empathiebonuslimit
SkillBase.RegisterPropertyNames.Enchantment:		      Verzauberung
SkillBase.RegisterPropertyNames.EnchantmentFocus:	      Verzauberung Fokus
SkillBase.RegisterPropertyNames.EnduranceRegeneration:	  Ausdauer Regeneration
SkillBase.RegisterPropertyNames.Energy:			          Energie
SkillBase.RegisterPropertyNames.Enhancement:		      Verbesserungen
SkillBase.RegisterPropertyNames.Envenom:		          Vergiften
SkillBase.RegisterPropertyNames.Conversion:               Umwandlung: {0}% aller eintreffenden Schäden wird in Mana und Ausdauer umgewandelt.
SkillBase.RegisterPropertyNames.EtherealShriek:		      Ätherisches Kreischen
SkillBase.RegisterPropertyNames.EtherealShriekFocus:	  Ätherisches Kreischen Fokus
SkillBase.RegisterPropertyNames.EvadeChance:		      Ausweichchance: (Nur PvM)
SkillBase.RegisterPropertyNames.ExperienceLoss:		      Erfahrungsverlustreduzierung
SkillBase.RegisterPropertyNames.Fatigue:		          Ausdauer
SkillBase.RegisterPropertyNames.FireMagic:		          Feuermagie
SkillBase.RegisterPropertyNames.FireMagicFocus:		      Feuermagie Fokus
SkillBase.RegisterPropertyNames.FistWraps:		          Faustbandagen
SkillBase.RegisterPropertyNames.FlexibleWeapon:		      Flexible Waffen
SkillBase.RegisterPropertyNames.FumbleChance:		      Verstolperungs-Chance
SkillBase.RegisterPropertyNames.Hammer:			          Hammer
SkillBase.RegisterPropertyNames.HandToHand:		          Faustkampfwaffen
SkillBase.RegisterPropertyNames.HealingEffectiveness:	  Heilungseffektivitäts Bonus
